DØGNNORMAL - ÅRSLISTE (1961-1990)

Stasjoner
Stnr;Navn;I drift fra;I drift til;Hoh;Breddegrad;Lengdegrad;Kommune;Fylke;Region
18700;OSLO - BLINDERN;jan 1931;;94;59,9423;10,7200;Oslo;OSLO;ØSTLANDET

Elementer
Kode;Navn;Enhet
TAM;Middeltemperatur;ºC

TAM - døgnnormaler
Mnd;Dag;18700
1;1;-4,0
1;2;-4,0
1;3;-4,0
1;4;-4,0
1;5;-4,0
1;6;-4,1
1;7;-4,1
1;8;-4,1
1;9;-4,1
1;10;-4,2
1;11;-4,2
1;12;-4,2
1;13;-4,2
1;14;-4,2
1;15;-4,3
1;16;-4,3
1;17;-4,3
1;18;-4,3
1;19;-4,4
1;20;-4,4
1;21;-4,4
1;22;-4,5
1;23;-4,5
1;24;-4,5
1;25;-4,5
1;26;-4,6
1;27;-4,6
1;28;-4,6
1;29;-4,6
1;30;-4,6
1;31;-4,6
2;1;-4,6
2;2;-4,6
2;3;-4,6
2;4;-4,6
2;5;-4,6
2;6;-4,6
2;7;-4,6
2;8;-4,6
2;9;-4,5
2;10;-4,5
2;11;-4,5
2;12;-4,4
2;13;-4,4
2;14;-4,3
2;15;-4,2
2;16;-4,1
2;17;-4,1
2;18;-4,0
2;19;-3,9
2;20;-3,8
2;21;-3,7
2;22;-3,5
2;23;-3,4
2;24;-3,3
2;25;-3,2
2;26;-3,0
2;27;-2,9
2;28;-2,7
2;29;-2,6
3;1;-2,5
3;2;-2,3
3;3;-2,2
3;4;-2,0
3;5;-1,8
3;6;-1,7
3;7;-1,5
3;8;-1,4
3;9;-1,2
3;10;-1,1
3;11;-0,9
3;12;-0,8
3;13;-0,6
3;14;-0,4
3;15;-0,3
3;16;-0,1
3;17;0,0
3;18;0,1
3;19;0,3
3;20;0,4
3;21;0,6
3;22;0,7
3;23;0,8
3;24;1,0
3;25;1,1
3;26;1,2
3;27;1,4
3;28;1,5
3;29;1,6
3;30;1,8
3;31;1,9
4;1;2,1
4;2;2,2
4;3;2,3
4;4;2,5
4;5;2,6
4;6;2,8
4;7;2,9
4;8;3,1
4;9;3,2
4;10;3,4
4;11;3,6
4;12;3,7
4;13;3,9
4;14;4,1
4;15;4,3
4;16;4,4
4;17;4,6
4;18;4,8
4;19;5,0
4;20;5,2
4;21;5,4
4;22;5,6
4;23;5,9
4;24;6,1
4;25;6,3
4;26;6,5
4;27;6,7
4;28;7,0
4;29;7,2
4;30;7,4
5;1;7,6
5;2;7,9
5;3;8,1
5;4;8,3
5;5;8,5
5;6;8,8
5;7;9,0
5;8;9,2
5;9;9,4
5;10;9,7
5;11;9,9
5;12;10,1
5;13;10,3
5;14;10,5
5;15;10,7
5;16;10,9
5;17;11,1
5;18;11,3
5;19;11,5
5;20;11,7
5;21;11,9
5;22;12,1
5;23;12,3
5;24;12,4
5;25;12,6
5;26;12,8
5;27;12,9
5;28;13,1
5;29;13,3
5;30;13,4
5;31;13,6
6;1;13,7
6;2;13,8
6;3;14,0
6;4;14,1
6;5;14,2
6;6;14,4
6;7;14,5
6;8;14,6
6;9;14,7
6;10;14,8
6;11;14,9
6;12;15,0
6;13;15,1
6;14;15,2
6;15;15,3
6;16;15,4
6;17;15,5
6;18;15,5
6;19;15,6
6;20;15,7
6;21;15,7
6;22;15,8
6;23;15,9
6;24;15,9
6;25;16,0
6;26;16,0
6;27;16,0
6;28;16,1
6;29;16,1
6;30;16,2
7;1;16,2
7;2;16,2
7;3;16,2
7;4;16,3
7;5;16,3
7;6;16,3
7;7;16,3
7;8;16,4
7;9;16,4
7;10;16,4
7;11;16,4
7;12;16,4
7;13;16,4
7;14;16,4
7;15;16,4
7;16;16,4
7;17;16,5
7;18;16,5
7;19;16,5
7;20;16,5
7;21;16,5
7;22;16,5
7;23;16,5
7;24;16,5
7;25;16,5
7;26;16,5
7;27;16,5
7;28;16,4
7;29;16,4
7;30;16,4
7;31;16,4
8;1;16,4
8;2;16,3
8;3;16,3
8;4;16,3
8;5;16,2
8;6;16,2
8;7;16,1
8;8;16,1
8;9;16,0
8;10;15,9
8;11;15,9
8;12;15,8
8;13;15,7
8;14;15,6
8;15;15,5
8;16;15,4
8;17;15,3
8;18;15,2
8;19;15,1
8;20;14,9
8;21;14,8
8;22;14,7
8;23;14,5
8;24;14,4
8;25;14,2
8;26;14,1
8;27;13,9
8;28;13,8
8;29;13,6
8;30;13,5
8;31;13,3
9;1;13,1
9;2;12,9
9;3;12,8
9;4;12,6
9;5;12,4
9;6;12,3
9;7;12,1
9;8;11,9
9;9;11,8
9;10;11,6
9;11;11,4
9;12;11,3
9;13;11,1
9;14;10,9
9;15;10,8
9;16;10,6
9;17;10,5
9;18;10,3
9;19;10,2
9;20;10,1
9;21;9,9
9;22;9,8
9;23;9,7
9;24;9,5
9;25;9,4
9;26;9,3
9;27;9,1
9;28;9,0
9;29;8,9
9;30;8,7
10;1;8,6
10;2;8,5
10;3;8,3
10;4;8,2
10;5;8,1
10;6;7,9
10;7;7,8
10;8;7,6
10;9;7,5
10;10;7,4
10;11;7,2
10;12;7,1
10;13;6,9
10;14;6,8
10;15;6,6
10;16;6,4
10;17;6,3
10;18;6,1
10;19;5,9
10;20;5,7
10;21;5,5
10;22;5,4
10;23;5,2
10;24;5,0
10;25;4,8
10;26;4,6
10;27;4,4
10;28;4,2
10;29;4,0
10;30;3,8
10;31;3,6
11;1;3,4
11;2;3,2
11;3;3,0
11;4;2,8
11;5;2,6
11;6;2,4
11;7;2,2
11;8;2,0
11;9;1,8
11;10;1,6
11;11;1,4
11;12;1,2
11;13;1,1
11;14;0,9
11;15;0,7
11;16;0,5
11;17;0,3
11;18;0,2
11;19;0,0
11;20;-0,2
11;21;-0,3
11;22;-0,5
11;23;-0,7
11;24;-0,8
11;25;-1,0
11;26;-1,1
11;27;-1,2
11;28;-1,4
11;29;-1,5
11;30;-1,6
12;1;-1,8
12;2;-1,9
12;3;-2,0
12;4;-2,1
12;5;-2,3
12;6;-2,4
12;7;-2,5
12;8;-2,6
12;9;-2,7
12;10;-2,8
12;11;-2,9
12;12;-2,9
12;13;-3,0
12;14;-3,1
12;15;-3,2
12;16;-3,2
12;17;-3,3
12;18;-3,4
12;19;-3,4
12;20;-3,5
12;21;-3,5
12;22;-3,6
12;23;-3,6
12;24;-3,7
12;25;-3,7
12;26;-3,8
12;27;-3,8
12;28;-3,8
12;29;-3,9
12;30;-3,9
12;31;-3,9
Årsnormal;-999;5,7



--------------------------------------------
Data er gyldig per 26.02.2020  (CC BY 3.0), Meteorologisk institutt (MET)
